home_team,away_team,home_result,away_result,result,date,round,city,stadium,edition
Latvia,Lithuania,4.0,2.0,Latvia,1937-01-01,qualification,Riga,,1938-FRANCE
Finland,Estonia,0.0,1.0,Estonia,1937-01-01,qualification,Turku,,1938-FRANCE
Germany,Estonia,4.0,1.0,Germany,1937-01-01,qualification,Konigsberg,,1938-FRANCE
Lithuania,Latvia,1.0,5.0,Latvia,1937-01-01,qualification,Kaunas,,1938-FRANCE
Austria,Latvia,2.0,1.0,Austria,1937-01-01,qualification,Vienna,,1938-FRANCE
Norway,Ireland,3.0,2.0,Norway,1937-01-01,qualification,Oslo,,1938-FRANCE
Poland,Serbia,4.0,0.0,Poland,1937-01-01,qualification,Warsaw,,1938-FRANCE
Ireland,Norway,3.0,3.0,draw,1937-01-01,qualification,Dublin,,1938-FRANCE
Bulgaria,Czech Republic,1.0,1.0,draw,1937-01-01,qualification,Sofija,,1938-FRANCE
Germany,Sweden,5.0,0.0,Germany,1937-01-01,qualification,Hamburg,,1938-FRANCE
Netherlands,Luxembourg,4.0,0.0,Netherlands,1937-01-01,qualification,Rotterdam,,1938-FRANCE
Palestine,Greece,1.0,3.0,Greece,1938-01-01,qualification,Tel Aviv,,1938-FRANCE
Greece,Palestine,1.0,0.0,Greece,1938-01-01,qualification,Athina,,1938-FRANCE
Luxembourg,Belgium,2.0,3.0,Belgium,1938-01-01,qualification,Luxembourg,,1938-FRANCE
Hungary,Greece,11.0,1.0,Hungary,1938-01-01,qualification,Budapest,,1938-FRANCE
Serbia,Poland,1.0,0.0,Serbia,1938-01-01,qualification,Belgrade,,1938-FRANCE
Belgium,Netherlands,1.0,1.0,draw,1938-01-01,qualification,Antwerpen,,1938-FRANCE
Czech Republic,Bulgaria,6.0,0.0,Czech Republic,1938-01-01,qualification,Prague,,1938-FRANCE
Switzerland,Portugal,2.0,1.0,Switzerland,1938-01-01,qualification,Milan,,1938-FRANCE
Switzerland,Germany,1.0,1.0,draw,1938-01-01,group_stage,Paris,,1938-FRANCE
Italy,Norway,2.0,1.0,Italy,1938-01-01,group_stage,Marseille,,1938-FRANCE
France,Belgium,3.0,1.0,France,1938-01-01,group_stage,Paris,,1938-FRANCE
Hungary,Dutch East Indies,6.0,0.0,Hungary,1938-01-01,group_stage,Reims,,1938-FRANCE
Cuba,Romania,3.0,3.0,draw,1938-01-01,group_stage,Toulouse,,1938-FRANCE
Brazil,Poland,6.0,5.0,Brazil,1938-01-01,group_stage,Strasbourg,,1938-FRANCE
Czech Republic,Netherlands,3.0,0.0,Czech Republic,1938-01-01,group_stage,Le Havre,,1938-FRANCE
Switzerland,Germany,4.0,2.0,Switzerland,1938-01-01,group_stage,Paris,,1938-FRANCE
Cuba,Romania,2.0,1.0,Cuba,1938-01-01,group_stage,Toulouse,,1938-FRANCE
