home_team,away_team,home_result,away_result,result,date,round,city,stadium,edition
Guatemala,Panama,7.0,0.0,Guatemala,1976-01-01,qualification,Guatemala,,1978-ARGENTINA
Ivory Coast,Upper Volta,2.0,0.0,Ivory Coast,1976-01-01,qualification,Abidjan,,1978-ARGENTINA
United States,Mexico,0.0,0.0,draw,1976-01-01,qualification,Los Angeles,,1978-ARGENTINA
Bulgaria,France,2.0,2.0,draw,1976-01-01,qualification,Sofija,,1978-ARGENTINA
Switzerland,Sweden,1.0,2.0,Sweden,1976-01-01,qualification,Basel,,1978-ARGENTINA
Greece,Hungary,1.0,1.0,draw,1976-01-01,qualification,Athina,,1978-ARGENTINA
Spain,Serbia,1.0,0.0,Spain,1976-01-01,qualification,Sevilla,,1978-ARGENTINA
Canada,Mexico,1.0,0.0,Canada,1976-01-01,qualification,Vancouver,,1978-ARGENTINA
Ghana,Guinea,2.0,1.0,Ghana,1976-01-01,qualification,Accra,,1978-ARGENTINA
England,Finland,2.0,1.0,England,1976-01-01,qualification,London,,1978-ARGENTINA
Netherlands,Northern Ireland,2.0,2.0,draw,1976-01-01,qualification,Rotterdam,,1978-ARGENTINA
Czech Republic,Scotland,2.0,0.0,Czech Republic,1976-01-01,qualification,Prague,,1978-ARGENTINA
Mexico,United States,3.0,0.0,Mexico,1976-01-01,qualification,Puebla,,1978-ARGENTINA
Portugal,Poland,0.0,2.0,Poland,1976-01-01,qualification,Porto,,1978-ARGENTINA
Luxembourg,Italy,1.0,4.0,Italy,1976-01-01,qualification,Luxembourg,,1978-ARGENTINA
Sierra Leone,Nigeria,0.0,0.0,draw,1976-01-01,qualification,Freetown,,1978-ARGENTINA
Togo,Senegal,1.0,0.0,Togo,1976-01-01,qualification,Lome,,1978-ARGENTINA
Congo,Cameroon,2.0,2.0,draw,1976-01-01,qualification,Brazzaville,,1978-ARGENTINA
United States,Canada,2.0,0.0,United States,1976-01-01,qualification,Seattle,,1978-ARGENTINA
Denmark,Cyprus,5.0,0.0,Denmark,1976-01-01,qualification,Kobenhavn,,1978-ARGENTINA
Mexico,Canada,0.0,0.0,draw,1976-01-01,qualification,Toluca,,1978-ARGENTINA
Egypt,Ethiopia,3.0,0.0,Egypt,1976-01-01,qualification,Cairo,,1978-ARGENTINA
Nigeria,Sierra Leone,6.0,2.0,Nigeria,1976-01-01,qualification,Lagos,,1978-ARGENTINA
Poland,Cyprus,5.0,0.0,Poland,1976-01-01,qualification,Warsaw,,1978-ARGENTINA
Turkey,Malta,4.0,0.0,Turkey,1976-01-01,qualification,Izmir,,1978-ARGENTINA
Senegal,Togo,1.0,1.0,draw,1976-01-01,qualification,Dakar,,1978-ARGENTINA
Guinea,Ghana,2.0,1.0,Guinea,1976-01-01,qualification,Conakry,,1978-ARGENTINA
Cameroon,Congo,0.0,2.0,Congo,1976-01-01,qualification,Yaounde,,1978-ARGENTINA
Belgium,Northern Ireland,2.0,0.0,Belgium,1976-01-01,qualification,Liege,,1978-ARGENTINA
Saudi Arabia,Syria,2.0,0.0,Saudi Arabia,1976-01-01,qualification,Jeddah,,1978-ARGENTINA
Surinam,Trinidad and Tobago,1.0,1.0,draw,1976-01-01,qualification,Paramaribo,,1978-ARGENTINA
Ethiopia,Egypt,1.0,2.0,Egypt,1976-01-01,qualification,Addis Ababa,,1978-ARGENTINA
Portugal,Denmark,1.0,0.0,Portugal,1976-01-01,qualification,Lisboa,,1978-ARGENTINA
Italy,England,2.0,0.0,Italy,1976-01-01,qualification,Roma,,1978-ARGENTINA
GDR,Turkey,1.0,1.0,draw,1976-01-01,qualification,Dresden,,1978-ARGENTINA
France,Ireland,2.0,0.0,France,1976-01-01,qualification,Paris,,1978-ARGENTINA
Scotland,Wales,1.0,0.0,Scotland,1976-01-01,qualification,Glasgow,,1978-ARGENTINA
Syria,Saudi Arabia,2.0,1.0,Syria,1976-01-01,qualification,Damascus,,1978-ARGENTINA
Trinidad and Tobago,Surinam,2.0,2.0,draw,1976-01-01,qualification,Port_of_Spain,,1978-ARGENTINA
Cuba,Haiti,1.0,1.0,draw,1976-01-01,qualification,La_Habana,,1978-ARGENTINA
El Salvador,Costa Rica,1.0,1.0,draw,1976-01-01,qualification,San_Salvador,,1978-ARGENTINA
Cyprus,Portugal,1.0,2.0,Portugal,1976-01-01,qualification,Lemesos,,1978-ARGENTINA
Malta,Austria,0.0,1.0,Austria,1976-01-01,qualification,Valletta,,1978-ARGENTINA
Sierra Leone,Niger,5.0,1.0,Sierra Leone,1976-01-01,qualification,Freetown,,1978-ARGENTINA
Upper Volta,Mauritania,1.0,1.0,draw,1976-01-01,qualification,Ouagadougou,,1978-ARGENTINA
Niger,Sierra Leone,2.0,1.0,Niger,1976-01-01,qualification,Niamey,,1978-ARGENTINA
Mauritania,Upper Volta,0.0,2.0,Upper Volta,1976-01-01,qualification,Nouakchott,,1978-ARGENTINA
Algeria,Libya,1.0,0.0,Algeria,1976-01-01,qualification,Algiers,,1978-ARGENTINA
Dominican Republic,Haiti,0.0,3.0,Haiti,1976-01-01,qualification,Santo Domingo,,1978-ARGENTINA
Panama,Costa Rica,3.0,2.0,Panama,1976-01-01,qualification,Panama,,1978-ARGENTINA
Libya,Algeria,0.0,0.0,draw,1976-01-01,qualification,Tripoli,,1978-ARGENTINA
Haiti,Dominican Republic,3.0,0.0,Haiti,1976-01-01,qualification,Port-au-Prince,,1978-ARGENTINA
Panama,El Salvador,1.0,1.0,draw,1976-01-01,qualification,Panama,,1978-ARGENTINA
Zambia,Malawi,4.0,0.0,Zambia,1976-01-01,qualification,Lusaka,,1978-ARGENTINA
Cyprus,Denmark,1.0,5.0,Denmark,1976-01-01,qualification,Lemesos,,1978-ARGENTINA
Malawi,Zambia,0.0,1.0,Zambia,1976-01-01,qualification,Blantyre,,1978-ARGENTINA
Finland,England,1.0,4.0,England,1976-01-01,qualification,Helsinki,,1978-ARGENTINA
Sweden,Norway,2.0,0.0,Sweden,1976-01-01,qualification,Stockholm,,1978-ARGENTINA
Guyana,Surinam,2.0,0.0,Guyana,1976-01-01,qualification,Georgetown,,1978-ARGENTINA
Costa Rica,Panama,3.0,0.0,Costa Rica,1976-01-01,qualification,San_Jose,,1978-ARGENTINA
Dutch Antilles,Haiti,1.0,2.0,Haiti,1976-01-01,qualification,Oranjestad,,1978-ARGENTINA
El Salvador,Panama,4.0,1.0,El Salvador,1976-01-01,qualification,San_Salvador,,1978-ARGENTINA
Haiti,Dutch Antilles,7.0,0.0,Haiti,1976-01-01,qualification,Port-au-Prince,,1978-ARGENTINA
Barbados,Trinidad and Tobago,2.0,1.0,Barbados,1976-01-01,qualification,Bridgetown,,1978-ARGENTINA
Jamaica,Cuba,1.0,3.0,Cuba,1976-01-01,qualification,Kingston,,1978-ARGENTINA
Surinam,Guyana,3.0,0.0,Surinam,1976-01-01,qualification,Paramaribo,,1978-ARGENTINA
Cuba,Jamaica,2.0,0.0,Cuba,1976-01-01,qualification,La_Habana,,1978-ARGENTINA
Trinidad and Tobago,Barbados,1.0,0.0,Trinidad and Tobago,1976-01-01,qualification,Port_of_Spain,,1978-ARGENTINA
Costa Rica,Guatemala,0.0,0.0,draw,1976-01-01,qualification,San_Jose,,1978-ARGENTINA
Guatemala,El Salvador,3.0,1.0,Guatemala,1976-01-01,qualification,Guatemala,,1978-ARGENTINA
Haiti,Cuba,1.0,1.0,draw,1976-01-01,qualification,Port-au-Prince,,1978-ARGENTINA
Guatemala,Costa Rica,1.0,1.0,draw,1976-01-01,qualification,Guatemala,,1978-ARGENTINA
Morocco,Tunisia,1.0,1.0,draw,1976-01-01,qualification,Casablanca,,1978-ARGENTINA
Costa Rica,El Salvador,1.0,1.0,draw,1976-01-01,qualification,San_Jose,,1978-ARGENTINA
Surinam,Trinidad and Tobago,3.0,2.0,Surinam,1976-01-01,qualification,Cayenne,,1978-ARGENTINA
El Salvador,Guatemala,2.0,0.0,El Salvador,1976-01-01,qualification,San_Salvador,,1978-ARGENTINA
Canada,United States,3.0,0.0,Canada,1976-01-01,qualification,Port-au-Prince,,1978-ARGENTINA
Haiti,Cuba,2.0,0.0,Haiti,1976-01-01,qualification,Panama,,1978-ARGENTINA
Saudi Arabia,Iran,0.0,3.0,Iran,1977-01-01,qualification,Riyadh,,1978-ARGENTINA
Tunisia,Morocco,1.0,1.0,draw,1977-01-01,qualification,Tunis,,1978-ARGENTINA
Guinea,Ghana,2.0,0.0,Guinea,1977-01-01,qualification,Lome,,1978-ARGENTINA
Syria,Iran,0.0,1.0,Iran,1977-01-01,qualification,Damascus,,1978-ARGENTINA
Tunisia,Algeria,2.0,0.0,Tunisia,1977-01-01,qualification,Tunis,,1978-ARGENTINA
Kenya,Egypt,0.0,0.0,draw,1977-01-01,qualification,Nairobi,,1978-ARGENTINA
Venezuela,Uruguay,1.0,1.0,draw,1977-01-01,qualification,Caracas,,1978-ARGENTINA
Togo,Guinea,0.0,2.0,Guinea,1977-01-01,qualification,Lome,,1978-ARGENTINA
Ivory Coast,Congo,3.0,2.0,Ivory Coast,1977-01-01,qualification,Bouake,,1978-ARGENTINA
Uganda,Zambia,1.0,0.0,Uganda,1977-01-01,qualification,Kampala,,1978-ARGENTINA
Colombia,Brazil,0.0,0.0,draw,1977-01-01,qualification,Bogota,,1978-ARGENTINA
Ecuador,Peru,1.0,1.0,draw,1977-01-01,qualification,Quito,,1978-ARGENTINA
Colombia,Paraguay,0.0,1.0,Paraguay,1977-01-01,qualification,Bogota,,1978-ARGENTINA
Bolivia,Uruguay,1.0,0.0,Bolivia,1977-01-01,qualification,La_Paz,,1978-ARGENTINA
Ecuador,Chile,0.0,1.0,Chile,1977-01-01,qualification,Guayaquil,,1978-ARGENTINA
Guinea,Togo,2.0,1.0,Guinea,1977-01-01,qualification,Conakry,,1978-ARGENTINA
Congo,Ivory Coast,1.0,3.0,Ivory Coast,1977-01-01,qualification,Brazzaville,,1978-ARGENTINA
Egypt,Kenya,1.0,0.0,Egypt,1977-01-01,qualification,Cairo,,1978-ARGENTINA
Zambia,Uganda,4.0,2.0,Zambia,1977-01-01,qualification,Ndola,,1978-ARGENTINA
Singapore,Thailand,2.0,0.0,Singapore,1977-01-01,qualification,Singapore,,1978-ARGENTINA
Israel,South Korea,0.0,0.0,draw,1977-01-01,qualification,Tel Aviv,,1978-ARGENTINA
Algeria,Tunisia,1.0,1.0,draw,1977-01-01,qualification,Algiers,,1978-ARGENTINA
Hong Kong,Indonesia,4.0,1.0,Hong Kong,1977-01-01,qualification,Singapore,,1978-ARGENTINA
Malaysia,Thailand,6.0,4.0,Malaysia,1977-01-01,qualification,Singapore,,1978-ARGENTINA
Singapore,Hong Kong,2.0,2.0,draw,1977-01-01,qualification,Singapore,,1978-ARGENTINA
Indonesia,Malaysia,0.0,0.0,draw,1977-01-01,qualification,Singapore,,1978-ARGENTINA
Hong Kong,Thailand,2.0,1.0,Hong Kong,1977-01-01,qualification,Singapore,,1978-ARGENTINA
Paraguay,Colombia,1.0,1.0,draw,1977-01-01,qualification,Asuncion,,1978-ARGENTINA
Venezuela,Bolivia,1.0,3.0,Bolivia,1977-01-01,qualification,Caracas,,1978-ARGENTINA
Chile,Peru,1.0,1.0,draw,1977-01-01,qualification,Santiago,,1978-ARGENTINA
Singapore,Malaysia,1.0,0.0,Singapore,1977-01-01,qualification,Singapore,,1978-ARGENTINA
Israel,Japan,2.0,0.0,Israel,1977-01-01,qualification,Tel Aviv,,1978-ARGENTINA
Thailand,Indonesia,3.0,2.0,Thailand,1977-01-01,qualification,Singapore,,1978-ARGENTINA
Hong Kong,Malaysia,1.0,1.0,draw,1977-01-01,qualification,Singapore,,1978-ARGENTINA
Brazil,Colombia,6.0,0.0,Brazil,1977-01-01,qualification,Rio de Janeiro,,1978-ARGENTINA
Indonesia,Singapore,4.0,0.0,Indonesia,1977-01-01,qualification,Singapore,,1978-ARGENTINA
Japan,Israel,0.0,2.0,Israel,1977-01-01,qualification,Tel Aviv,,1978-ARGENTINA
Bahrain,Kuwait,0.0,2.0,Kuwait,1977-01-01,qualification,Doha,,1978-ARGENTINA
Peru,Ecuador,4.0,0.0,Peru,1977-01-01,qualification,Lima,,1978-ARGENTINA
Hong Kong,Singapore,1.0,0.0,Hong Kong,1977-01-01,qualification,Singapore,,1978-ARGENTINA
Paraguay,Brazil,0.0,1.0,Brazil,1977-01-01,qualification,Asuncion,,1978-ARGENTINA
Bolivia,Venezuela,2.0,0.0,Bolivia,1977-01-01,qualification,La_Paz,,1978-ARGENTINA
Qatar,Bahrain,2.0,0.0,Qatar,1977-01-01,qualification,Doha,,1978-ARGENTINA
Australia,Taiwan,3.0,0.0,Australia,1977-01-01,qualification,Ba,,1978-ARGENTINA
Qatar,Kuwait,0.0,2.0,Kuwait,1977-01-01,qualification,Doha,,1978-ARGENTINA
Taiwan,Australia,1.0,2.0,Australia,1977-01-01,qualification,Ba,,1978-ARGENTINA
Uruguay,Venezuela,2.0,0.0,Uruguay,1977-01-01,qualification,Montevideo,,1978-ARGENTINA
Kuwait,Bahrain,2.0,1.0,Kuwait,1977-01-01,qualification,Doha,,1978-ARGENTINA
Bahrain,Qatar,3.0,0.0,Bahrain,1977-01-01,qualification,Doha,,1978-ARGENTINA
Brazil,Paraguay,1.0,1.0,draw,1977-01-01,qualification,Rio de Janeiro,,1978-ARGENTINA
Chile,Ecuador,3.0,0.0,Chile,1977-01-01,qualification,Santiago,,1978-ARGENTINA
South Korea,Israel,3.0,1.0,South Korea,1977-01-01,qualification,Seoul,,1978-ARGENTINA
New Zealand,Taiwan,6.0,0.0,New Zealand,1977-01-01,qualification,Auckland,,1978-ARGENTINA
Kuwait,Qatar,4.0,1.0,Kuwait,1977-01-01,qualification,Doha,,1978-ARGENTINA
Taiwan,New Zealand,0.0,6.0,New Zealand,1977-01-01,qualification,Auckland,,1978-ARGENTINA
Belgium,Netherlands,0.0,2.0,Netherlands,1977-01-01,qualification,Antwerpen,,1978-ARGENTINA
Peru,Chile,2.0,0.0,Peru,1977-01-01,qualification,Lima,,1978-ARGENTINA
Japan,South Korea,0.0,0.0,draw,1977-01-01,qualification,Tokyo,,1978-ARGENTINA
Uruguay,Bolivia,2.0,2.0,draw,1977-01-01,qualification,Montevideo,,1978-ARGENTINA
Australia,New Zealand,3.0,1.0,Australia,1977-01-01,qualification,Sydney,,1978-ARGENTINA
England,Luxembourg,5.0,0.0,England,1977-01-01,qualification,London,,1978-ARGENTINA
Ireland,France,1.0,0.0,Ireland,1977-01-01,qualification,Dublin,,1978-ARGENTINA
Wales,Czech Republic,3.0,0.0,Wales,1977-01-01,qualification,Wrexham,,1978-ARGENTINA
New Zealand,Australia,1.0,1.0,draw,1977-01-01,qualification,Auckland,,1978-ARGENTINA
Malta,GDR,0.0,1.0,GDR,1977-01-01,qualification,Valletta,,1978-ARGENTINA
South Korea,Japan,1.0,0.0,South Korea,1977-01-01,qualification,Seoul,,1978-ARGENTINA
Iran,Syria,2.0,0.0,Iran,1977-01-01,qualification,Shiraz,,1978-ARGENTINA
Romania,Spain,1.0,0.0,Romania,1977-01-01,qualification,Bucuresti,,1978-ARGENTINA
Austria,Turkey,1.0,0.0,Austria,1977-01-01,qualification,Vienna,,1978-ARGENTINA
Iran,Saudi Arabia,2.0,0.0,Iran,1977-01-01,qualification,Shiraz,,1978-ARGENTINA
Russia,Greece,2.0,0.0,Russia,1977-01-01,qualification,Moskva,,1978-ARGENTINA
Austria,Malta,9.0,0.0,Austria,1977-01-01,qualification,Salzburg,,1978-ARGENTINA
Hungary,Russia,2.0,1.0,Hungary,1977-01-01,qualification,Budapest,,1978-ARGENTINA
Denmark,Poland,1.0,2.0,Poland,1977-01-01,qualification,Kobenhavn,,1978-ARGENTINA
Serbia,Romania,0.0,2.0,Romania,1977-01-01,qualification,Zagreb,,1978-ARGENTINA
Greece,Russia,1.0,0.0,Greece,1977-01-01,qualification,Thessalonike,,1978-ARGENTINA
Cyprus,Poland,1.0,3.0,Poland,1977-01-01,qualification,Lemesos,,1978-ARGENTINA
Russia,Hungary,2.0,0.0,Russia,1977-01-01,qualification,Tbilisi,,1978-ARGENTINA
Luxembourg,Finland,0.0,1.0,Finland,1977-01-01,qualification,Luxembourg,,1978-ARGENTINA
Hungary,Greece,3.0,0.0,Hungary,1977-01-01,qualification,Budapest,,1978-ARGENTINA
Bulgaria,Ireland,2.0,1.0,Bulgaria,1977-01-01,qualification,Sofija,,1978-ARGENTINA
Guinea,Tunisia,1.0,0.0,Guinea,1977-01-01,qualification,Conakry,,1978-ARGENTINA
Finland,Italy,0.0,3.0,Italy,1977-01-01,qualification,Helsinki,,1978-ARGENTINA
Sweden,Switzerland,2.0,1.0,Sweden,1977-01-01,qualification,Stockholm,,1978-ARGENTINA
Iceland,Northern Ireland,1.0,0.0,Iceland,1977-01-01,qualification,Reykjavik,,1978-ARGENTINA
Tunisia,Guinea,3.0,1.0,Tunisia,1977-01-01,qualification,Tunis,,1978-ARGENTINA
Hong Kong,Iran,0.0,2.0,Iran,1977-01-01,qualification,Hong Kong,,1978-ARGENTINA
Hong Kong,South Korea,0.0,1.0,South Korea,1977-01-01,qualification,Hong Kong,,1978-ARGENTINA
South Korea,Iran,0.0,0.0,draw,1977-01-01,qualification,Pusan,,1978-ARGENTINA
Brazil,Peru,1.0,0.0,Brazil,1977-01-01,qualification,Cali,,1978-ARGENTINA
Nigeria,Ivory Coast,4.0,0.0,Nigeria,1977-01-01,qualification,Lagos,,1978-ARGENTINA
Australia,Hong Kong,3.0,0.0,Australia,1977-01-01,qualification,Adelaide,,1978-ARGENTINA
Brazil,Bolivia,8.0,0.0,Brazil,1977-01-01,qualification,Cali,,1978-ARGENTINA
Egypt,Zambia,2.0,0.0,Egypt,1977-01-01,qualification,Cairo,,1978-ARGENTINA
Peru,Bolivia,5.0,0.0,Peru,1977-01-01,qualification,Cali,,1978-ARGENTINA
Ivory Coast,Nigeria,2.0,2.0,draw,1977-01-01,qualification,Bouake,,1978-ARGENTINA
Zambia,Egypt,0.0,0.0,draw,1977-01-01,qualification,Lusaka,,1978-ARGENTINA
Australia,Iran,0.0,1.0,Iran,1977-01-01,qualification,Melbourne,,1978-ARGENTINA
Australia,South Korea,2.0,1.0,Australia,1977-01-01,qualification,Sydney,,1978-ARGENTINA
Netherlands,Iceland,4.0,1.0,Netherlands,1977-01-01,qualification,Nijmegen,,1978-ARGENTINA
Belgium,Iceland,4.0,0.0,Belgium,1977-01-01,qualification,Bruxelles,,1978-ARGENTINA
Norway,Sweden,2.0,1.0,Norway,1977-01-01,qualification,Oslo,,1978-ARGENTINA
Poland,Denmark,4.0,1.0,Poland,1977-01-01,qualification,Chorzow,,1978-ARGENTINA
Northern Ireland,Iceland,2.0,0.0,Northern Ireland,1977-01-01,qualification,Belfast,,1978-ARGENTINA
Scotland,Czech Republic,3.0,1.0,Scotland,1977-01-01,qualification,Glasgow,,1978-ARGENTINA
Austria,GDR,1.0,1.0,draw,1977-01-01,qualification,Vienna,,1978-ARGENTINA
Tunisia,Nigeria,0.0,0.0,draw,1977-01-01,qualification,Tunis,,1978-ARGENTINA
Hong Kong,Kuwait,1.0,3.0,Kuwait,1977-01-01,qualification,Hong Kong,,1978-ARGENTINA
Guatemala,Surinam,3.0,2.0,Guatemala,1977-01-01,qualification,Monterrey,,1978-ARGENTINA
El Salvador,Canada,2.0,1.0,El Salvador,1977-01-01,qualification,Monterrey,,1978-ARGENTINA
Nigeria,Egypt,4.0,0.0,Nigeria,1977-01-01,qualification,Lagos,,1978-ARGENTINA
Denmark,Portugal,2.0,4.0,Portugal,1977-01-01,qualification,Kobenhavn,,1978-ARGENTINA
Mexico,Haiti,4.0,1.0,Mexico,1977-01-01,qualification,Mexico DF,,1978-ARGENTINA
South Korea,Kuwait,1.0,0.0,South Korea,1977-01-01,qualification,Seoul,,1978-ARGENTINA
Luxembourg,England,0.0,2.0,England,1977-01-01,qualification,Luxembourg,,1978-ARGENTINA
GDR,Austria,1.0,1.0,draw,1977-01-01,qualification,Leipzig,,1978-ARGENTINA
Northern Ireland,Netherlands,0.0,1.0,Netherlands,1977-01-01,qualification,Belfast,,1978-ARGENTINA
Ireland,Bulgaria,0.0,0.0,draw,1977-01-01,qualification,Dublin,,1978-ARGENTINA
Wales,Scotland,0.0,2.0,Scotland,1977-01-01,qualification,Liverpool,,1978-ARGENTINA
Mexico,El Salvador,3.0,1.0,Mexico,1977-01-01,qualification,Mexico DF,,1978-ARGENTINA
Canada,Surinam,2.0,1.0,Canada,1977-01-01,qualification,Mexico DF,,1978-ARGENTINA
Haiti,Guatemala,2.0,1.0,Haiti,1977-01-01,qualification,Monterrey,,1978-ARGENTINA
Italy,Finland,6.0,1.0,Italy,1977-01-01,qualification,Turin,,1978-ARGENTINA
Mexico,Surinam,8.0,1.0,Mexico,1977-01-01,qualification,Monterrey,,1978-ARGENTINA
Haiti,El Salvador,1.0,0.0,Haiti,1977-01-01,qualification,Mexico DF,,1978-ARGENTINA
Canada,Guatemala,2.0,1.0,Canada,1977-01-01,qualification,Mexico DF,,1978-ARGENTINA
Australia,Kuwait,1.0,2.0,Kuwait,1977-01-01,qualification,Sydney,,1978-ARGENTINA
Mexico,Guatemala,2.0,1.0,Mexico,1977-01-01,qualification,Mexico DF,,1978-ARGENTINA
El Salvador,Surinam,3.0,2.0,El Salvador,1977-01-01,qualification,Monterrey,,1978-ARGENTINA
Canada,Haiti,1.0,1.0,draw,1977-01-01,qualification,Monterrey,,1978-ARGENTINA
Egypt,Nigeria,3.0,1.0,Egypt,1977-01-01,qualification,Cairo,,1978-ARGENTINA
Mexico,Canada,3.0,1.0,Mexico,1977-01-01,qualification,Monterrey,,1978-ARGENTINA
Haiti,Surinam,1.0,0.0,Haiti,1977-01-01,qualification,Mexico DF,,1978-ARGENTINA
Guatemala,El Salvador,2.0,2.0,draw,1977-01-01,qualification,Mexico DF,,1978-ARGENTINA
South Korea,Australia,0.0,0.0,draw,1977-01-01,qualification,Seoul,,1978-ARGENTINA
Netherlands,Belgium,1.0,0.0,Netherlands,1977-01-01,qualification,Amsterdam,,1978-ARGENTINA
Spain,Romania,2.0,0.0,Spain,1977-01-01,qualification,Madrid,,1978-ARGENTINA
Iran,Kuwait,1.0,0.0,Iran,1977-01-01,qualification,Tehran,,1978-ARGENTINA
Poland,Portugal,1.0,1.0,draw,1977-01-01,qualification,Chorzow,,1978-ARGENTINA
GDR,Malta,9.0,0.0,GDR,1977-01-01,qualification,Potsdam,,1978-ARGENTINA
Hungary,Bolivia,6.0,0.0,Hungary,1977-01-01,qualification,Budapest,,1978-ARGENTINA
Turkey,Austria,0.0,1.0,Austria,1977-01-01,qualification,Izmir,,1978-ARGENTINA
Switzerland,Norway,1.0,0.0,Switzerland,1977-01-01,qualification,Bern,,1978-ARGENTINA
Hong Kong,Australia,2.0,5.0,Australia,1977-01-01,qualification,Hong Kong,,1978-ARGENTINA
Kuwait,South Korea,2.0,2.0,draw,1977-01-01,qualification,Kuwait,,1978-ARGENTINA
Iran,South Korea,2.0,2.0,draw,1977-01-01,qualification,Tehran,,1978-ARGENTINA
Nigeria,Tunisia,0.0,1.0,Tunisia,1977-01-01,qualification,Lagos,,1978-ARGENTINA
Kuwait,Hong Kong,4.0,0.0,Kuwait,1977-01-01,qualification,Kuwait,,1978-ARGENTINA
Romania,Serbia,4.0,6.0,Serbia,1977-01-01,qualification,Bucuresti,,1978-ARGENTINA
Portugal,Cyprus,4.0,0.0,Portugal,1977-01-01,qualification,Faro,,1978-ARGENTINA
England,Italy,2.0,0.0,England,1977-01-01,qualification,London,,1978-ARGENTINA
Turkey,GDR,1.0,2.0,GDR,1977-01-01,qualification,Izmir,,1978-ARGENTINA
Northern Ireland,Belgium,3.0,0.0,Northern Ireland,1977-01-01,qualification,Belfast,,1978-ARGENTINA
France,Bulgaria,3.0,1.0,France,1977-01-01,qualification,Paris,,1978-ARGENTINA
Czech Republic,Wales,1.0,0.0,Czech Republic,1977-01-01,qualification,Prague,,1978-ARGENTINA
Iran,Hong Kong,3.0,0.0,Iran,1977-01-01,qualification,Tehran,,1978-ARGENTINA
Kuwait,Australia,1.0,0.0,Kuwait,1977-01-01,qualification,Kuwait,,1978-ARGENTINA
Egypt,Tunisia,3.0,2.0,Egypt,1977-01-01,qualification,Cairo,,1978-ARGENTINA
Iran,Australia,1.0,0.0,Iran,1977-01-01,qualification,Tehran,,1978-ARGENTINA
Malta,Turkey,0.0,3.0,Turkey,1977-01-01,qualification,Valletta,,1978-ARGENTINA
Serbia,Spain,0.0,1.0,Spain,1977-01-01,qualification,Belgrade,,1978-ARGENTINA
Bolivia,Hungary,2.0,3.0,Hungary,1977-01-01,qualification,La_Paz,,1978-ARGENTINA
Italy,Luxembourg,3.0,0.0,Italy,1977-01-01,qualification,Roma,,1978-ARGENTINA
Kuwait,Iran,1.0,2.0,Iran,1977-01-01,qualification,Kuwait,,1978-ARGENTINA
South Korea,Hong Kong,5.0,2.0,South Korea,1977-01-01,qualification,Seoul,,1978-ARGENTINA
Tunisia,Egypt,4.0,1.0,Tunisia,1977-01-01,qualification,Tunis,,1978-ARGENTINA
Germany,Poland,0.0,0.0,draw,1978-01-01,group_stage,Buenos Aires,,1978-ARGENTINA
Italy,France,2.0,1.0,Italy,1978-01-01,group_stage,Mar_del_Plata,,1978-ARGENTINA
Tunisia,Mexico,3.0,1.0,Tunisia,1978-01-01,group_stage,Rosario,,1978-ARGENTINA
Argentina,Hungary,2.0,1.0,Argentina,1978-01-01,group_stage,Buenos Aires,,1978-ARGENTINA
Austria,Spain,2.0,1.0,Austria,1978-01-01,group_stage,Buenos Aires,,1978-ARGENTINA
Sweden,Brazil,1.0,1.0,draw,1978-01-01,group_stage,Mar_del_Plata,,1978-ARGENTINA
Peru,Scotland,3.0,1.0,Peru,1978-01-01,group_stage,Cordoba,,1978-ARGENTINA
Netherlands,Iran,3.0,0.0,Netherlands,1978-01-01,group_stage,Mendoza,,1978-ARGENTINA
Italy,Hungary,3.0,1.0,Italy,1978-01-01,group_stage,Mar_del_Plata,,1978-ARGENTINA
Germany,Mexico,6.0,0.0,Germany,1978-01-01,group_stage,Cordoba,,1978-ARGENTINA
Poland,Tunisia,1.0,0.0,Poland,1978-01-01,group_stage,Rosario,,1978-ARGENTINA
Argentina,France,2.0,1.0,Argentina,1978-01-01,group_stage,Buenos Aires,,1978-ARGENTINA
Austria,Sweden,1.0,0.0,Austria,1978-01-01,group_stage,Buenos Aires,,1978-ARGENTINA
Brazil,Spain,0.0,0.0,draw,1978-01-01,group_stage,Mar_del_Plata,,1978-ARGENTINA
Scotland,Iran,1.0,1.0,draw,1978-01-01,group_stage,Cordoba,,1978-ARGENTINA
Netherlands,Peru,0.0,0.0,draw,1978-01-01,group_stage,Mendoza,,1978-ARGENTINA
France,Hungary,3.0,1.0,France,1978-01-01,group_stage,Mar_del_Plata,,1978-ARGENTINA
Germany,Tunisia,0.0,0.0,draw,1978-01-01,group_stage,Cordoba,,1978-ARGENTINA
Poland,Mexico,3.0,1.0,Poland,1978-01-01,group_stage,Rosario,,1978-ARGENTINA
Italy,Argentina,1.0,0.0,Italy,1978-01-01,group_stage,Buenos Aires,,1978-ARGENTINA
Spain,Sweden,1.0,0.0,Spain,1978-01-01,group_stage,Buenos Aires,,1978-ARGENTINA
Brazil,Austria,1.0,0.0,Brazil,1978-01-01,group_stage,Mar_del_Plata,,1978-ARGENTINA
Peru,Iran,4.0,1.0,Peru,1978-01-01,group_stage,Cordoba,,1978-ARGENTINA
Scotland,Netherlands,3.0,2.0,Scotland,1978-01-01,group_stage,Mendoza,,1978-ARGENTINA
Netherlands,Austria,5.0,1.0,Netherlands,1978-01-01,semi_final,Cordoba,,1978-ARGENTINA
